W H S V
0.00585498315243 158 142 255
0.00830861658918 162 178 255
0.010668474878 161 168 255
0.012394999431 159 155 255
0.0130305046414 160 164 255
0.012394999431 158 150 255
0.010668474878 158 149 255
0.00830861658918 158 143 255
0.00585498315243 157 142 255
0.00373330208526 154 140 255
0.00215392793018 156 149 252
0.00250250722566 147 103 225
0.00433747820111 158 142 255
0.00680251991709 158 140 255
0.00965323526301 159 153 255
0.012394999431 160 161 255
0.0144009347775 161 172 255
0.0151392864924 159 159 255
0.0144009347775 159 157 255
0.012394999431 158 153 255
0.00965323526301 158 145 255
0.00680251991709 157 140 255
0.00433747820111 154 140 255
0.00250250722566 156 148 254
0.00263081351481 144 102 224
0.00455986546398 158 147 255
0.00715129257136 156 133 255
0.0101481672185 156 146 255
0.0130305046414 158 159 255
0.0151392864924 159 161 255
0.0159154943092 159 162 255
0.0151392864924 159 159 255
0.0130305046414 159 157 255
0.0101481672185 159 154 255
0.00715129257136 159 149 255
0.00455986546398 157 152 255
0.00263081351481 158 160 255
0.00250250722566 144 106 216
0.00433747820111 158 146 255
0.00680251991709 156 133 255
0.00965323526301 158 163 255
0.012394999431 159 167 255
0.0144009347775 158 159 255
0.0151392864924 161 179 255
0.0144009347775 162 181 255
0.012394999431 159 156 255
0.00965323526301 159 152 255
0.00680251991709 159 151 255
0.00433747820111 157 150 255
0.00250250722566 158 155 255
0.00215392793018 136 107 223
0.00373330208526 154 136 249
0.00585498315243 152 124 255
0.00830861658918 155 152 255
0.010668474878 155 151 255
0.012394999431 157 148 255
0.0130305046414 158 157 255
0.012394999431 159 165 255
0.010668474878 158 157 255
0.00830861658918 156 152 255
0.00585498315243 157 159 255
0.00373330208526 157 155 255
0.00215392793018 156 150 255
0.00167748075871 136 107 223
0.00290749858744 154 138 245
0.00455986546398 154 132 255
0.00647075710589 155 151 255
0.00830861658918 155 151 255
0.00965323526301 158 152 255
0.0101481672185 156 140 255
0.00965323526301 159 161 255
0.00830861658918 158 158 255
0.00647075710589 158 164 255
0.00455986546398 158 162 255
0.00290749858744 157 157 255
0.00167748075871 158 160 255
0.00118210071139 126 99 233
0.00204887962545 143 118 235
0.00321328288319 143 116 239
0.00455986546398 154 150 255
0.00585498315243 153 145 255
0.00680251991709 153 154 255
0.00715129257136 153 152 255
0.00680251991709 158 154 255
0.00585498315243 158 154 255
0.00455986546398 157 172 255
0.00321328288319 155 161 255
0.00204887962545 154 152 255
0.00118210071139 156 160 255
0.000753740691637 126 102 225
0.00130642332847 143 123 226
0.00204887962545 143 120 232
0.00290749858744 155 158 255
0.00373330208526 155 154 255
0.00433747820111 154 160 255
0.00455986546398 154 162 255
0.00433747820111 158 154 255
0.00373330208526 156 144 255
0.00290749858744 153 149 255
0.00204887962545 155 161 255
0.00130642332847 155 153 255
0.000753740691637 155 157 255
0.000434870549116 119 109 225
0.000753740691637 130 116 227
0.00118210071139 130 114 231
0.00167748075871 142 129 234
0.00215392793018 142 125 240
0.00250250722566 147 128 237
0.00263081351481 147 125 242
0.00250250722566 154 146 255
0.00215392793018 154 146 255
0.00167748075871 153 150 255
0.00118210071139 153 150 255
0.000753740691637 147 133 243
0.000434870549116 147 135 239
0.000434870549116 14 151 255
0.000753740691637 15 161 255
0.00118210071139 15 162 255
0.00167748075871 16 163 255
